C:\Users\Anthony\anaconda3\envs\isye6740\python.exe C:/OMSA/ISyE6748_practicum_publish/Mars/make_table.py
rank,accuracy,auc
10,0.57,0.569275
15,0.605,0.594625
20,0.6575,0.6677
25,0.675,0.669475
30,0.7025,0.6727
35,0.6925,0.6879
40,0.7,0.690775
45,0.7,0.6977
50,0.695,0.7137
55,0.7025,0.713
60,0.7,0.70965
65,0.7025,0.723275
70,0.695,0.726525
75,0.68,0.716675
80,0.675,0.717525
85,0.675,0.718725
90,0.665,0.7228
95,0.67,0.72105
100,0.665,0.72275
105,0.65,0.704975
110,0.6675,0.715525
115,0.66,0.711725
120,0.6425,0.7129
125,0.645,0.70205
130,0.65,0.712075
135,0.6425,0.703675
140,0.645,0.7026
145,0.645,0.696425
150,0.6425,0.698825
155,0.655,0.701675
160,0.65,0.69395
165,0.645,0.686125
170,0.6525,0.6913
175,0.65,0.688
180,0.65,0.685725
185,0.67,0.689175
190,0.66,0.679725
195,0.6575,0.68445
200,0.6575,0.6847
205,0.6575,0.6849
210,0.655,0.67955
215,0.6525,0.6786
220,0.65,0.6767
225,0.6525,0.675425
230,0.655,0.679525
235,0.66,0.670625
240,0.6525,0.66925
245,0.655,0.6706
250,0.6575,0.663725
255,0.655,0.66655
260,0.6475,0.662725
265,0.6425,0.65605
270,0.6475,0.6613
275,0.6425,0.66235
280,0.6475,0.658575
285,0.6425,0.65465
290,0.6425,0.6521
295,0.6375,0.6518
300,0.6375,0.64885
305,0.6375,0.65075
310,0.645,0.652425
315,0.6475,0.65025
320,0.645,0.6485
325,0.6425,0.6506
330,0.6375,0.646075
335,0.5,0.5
340,0.65,0.6477
345,0.6425,0.646825
350,0.645,0.6448
355,0.6475,0.6424
360,0.64,0.6408
365,0.6425,0.643325
370,0.645,0.64235
375,0.6525,0.63935
380,0.6425,0.643975

Best accuracy -> rank 65 (accuracy=0.7025, auc=0.723275)
Best AUC      -> rank 70 (auc=0.726525, accuracy=0.6950)

Process finished with exit code 0
