n=500,,,,,,,
,no_decomp_seed1,no_decomp_seed2,no_decomp_seed3,no_decomp_seed5,no_decomp_seed8,no_decomp_seed13,no_decomp_seed21
OCSVM,0.5,0.5,0.5,0.5,0.5,0.5,0.5
AE,0.667355,0.64876,0.719008,0.576446,0.576446,0.543388,0.650826
IF,0.785124,0.828512,0.818182,0.75,0.822314,0.820248,0.783058
,,,,,,,
,ocsvm_pca_seed1,ocsvm_pca_seed2,ocsvm_pca_seed3,ocsvm_pca_seed5,ocsvm_pca_seed8,ocsvm_pca_seed13,ocsvm_pca_seed21
OCSVM,0.72314,0.797521,0.754132,0.673554,0.747934,0.772727,0.702479
AE,0.663223,0.77686,0.733471,0.599174,0.706612,0.729339,0.677686
IF,0.650826,0.739669,0.650826,0.52686,0.654959,0.719008,0.609504
,,,,,,,
,ocsvm_cp_seed1,ocsvm_cp_seed2,ocsvm_cp_seed3,ocsvm_cp_seed5,ocsvm_cp_seed8,ocsvm_cp_seed13,ocsvm_cp_seed21
OCSVM,0.46281,0.623967,0.592975,0.42562,0.516529,0.586777,0.555785
AE,0.64876,0.764463,0.71281,0.609504,0.694215,0.739669,0.729339
IF,0.506198,0.630165,0.642562,0.489669,0.568182,0.634298,0.584711
,,,,,,,
,ocsvm_tucker_seed1,ocsvm_tucker_seed2,ocsvm_tucker_seed3,ocsvm_tucker_seed5,ocsvm_tucker_seed8,ocsvm_tucker_seed13,ocsvm_tucker_seed21
OCSVM,0.402893,0.57438,0.493802,0.35124,0.489669,0.506198,0.524793
AE,0.394628,0.582645,0.491736,0.349174,0.485537,0.528926,0.512397
IF,0.640496,0.636364,0.673554,0.68595,0.559917,0.667355,0.731405
,,,,,,,
n=1000,,,,,,,
,no_decomp_seed1,no_decomp_seed2,no_decomp_seed3,no_decomp_seed5,no_decomp_seed8,no_decomp_seed13,no_decomp_seed21
OCSVM,0.5,0.523,0.5,0.5,0.5,0.5,0.5
AE,0.677686,0.642562,0.46281,0.421488,0.576446,0.733471,0.702479
IF,0.85124,0.85124,0.818182,0.780992,0.811983,0.865702,0.85124
,,,,,,,
