dataset,model,k,n,chi2,df,p
n=1000,AE,4,7,18.94285714285715,3,0.0002809383751895296
n=1000,IF,4,7,16.200000000000003,3,0.0010317868098302346
n=1000,OCSVM,4,7,17.91428571428571,3,0.00045812086244170086
n=1500,AE,4,7,12.771428571428572,3,0.005157904778272139
n=1500,IF,4,7,18.94285714285715,3,0.0002809383751895296
n=1500,OCSVM,4,7,21.0,3,0.00010527618177149762
n=3000,AE,4,7,19.925373134328357,3,0.0001758955509234652
n=3000,IF,4,7,15.342857142857142,3,0.0015459030469467782
n=3000,OCSVM,4,7,18.94285714285715,3,0.0002809383751895296
n=500,AE,4,7,14.828571428571436,3,0.001969164129297192
n=500,IF,4,7,17.400000000000006,3,0.00058472022060473
n=500,OCSVM,4,7,16.200000000000003,3,0.0010317868098302346
