dataset,model,family,comparison,n,statistic,p_raw,mean_delta,p_holm
n=1000,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.17473442857142857,0.03125
n=1000,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.26505300000000004,0.03125
n=1000,AE,vs_noDecomp,CP vs noDecomp,7,8.0,0.375,-0.045159571428571424,0.375
n=1000,AE,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,-0.13547814285714285,0.03125
n=1000,IF,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.17355342857142858,0.03125
n=1000,IF,vs_PCA,Tucker vs PCA,7,5.0,0.15625,-0.11599742857142857,0.15625
n=1000,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,-0.2892562857142857,0.03125
n=1000,IF,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,-0.23170028571428572,0.03125
n=1000,OCSVM,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.29988200000000004,0.03125
n=1000,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.25737899999999997,0.03125
n=1000,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,-0.07884657142857142,0.03125
n=1000,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,6.0,0.21875,-0.036343571428571426,0.21875
n=1500,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.18772157142857146,0.03125
n=1500,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.227273,0.03125
n=1500,AE,vs_noDecomp,CP vs noDecomp,7,11.0,0.6875,0.043388428571428585,1.0
n=1500,AE,vs_noDecomp,Tucker vs noDecomp,7,13.0,0.9375,0.003837000000000027,1.0
n=1500,IF,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.06818185714285711,0.03125
n=1500,IF,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.28925614285714285,0.03125
n=1500,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,-0.07526571428571426,0.03125
n=1500,IF,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,-0.29634,0.03125
n=1500,OCSVM,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.44657628571428576,0.03125
n=1500,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.19952785714285715,0.03125
n=1500,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,-0.11481714285714285,0.03125
n=1500,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.13223128571428572,0.03125
n=3000,AE,vs_PCA,CP vs PCA,7,1.0,0.25,-0.010625714285714285,0.25
n=3000,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.32349457142857146,0.03125
n=3000,AE,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.21723728571428572,0.03125
n=3000,AE,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,-0.09563157142857145,0.03125
n=3000,IF,vs_PCA,CP vs PCA,7,5.0,0.15625,-0.025973714285714298,0.15625
n=3000,IF,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.20631628571428573,0.03125
n=3000,IF,vs_noDecomp,CP vs noDecomp,7,12.0,0.78125,-0.005017428571428554,0.78125
n=3000,IF,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,-0.18535999999999994,0.03125
n=3000,OCSVM,vs_PCA,CP vs PCA,7,8.0,0.375,-0.0035419999999999974,0.375
n=3000,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.3060802857142857,0.03125
n=3000,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.3308735714285715,0.03125
n=3000,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.0283352857142857,0.03125
n=500,AE,vs_PCA,CP vs PCA,7,10.0,0.5625,0.001770714285714308,0.5625
n=500,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.22018885714285713,0.03125
n=500,AE,vs_noDecomp,CP vs noDecomp,7,3.0,0.078125,0.07379014285714287,0.078125
n=500,AE,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,-0.1481694285714286,0.03125
n=500,IF,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.07083814285714286,0.03125
n=500,IF,vs_PCA,Tucker vs PCA,7,13.0,0.9375,0.006198428571428557,0.9375
n=500,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,-0.22166471428571427,0.03125
n=500,IF,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,-0.14462814285714284,0.03125
n=500,OCSVM,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.20100342857142856,0.03125
n=500,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.261216,0.03125
n=500,OCSVM,vs_noDecomp,CP vs noDecomp,7,6.0,0.21875,0.03778042857142858,0.4375
n=500,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,11.0,0.6875,-0.022432142857142852,0.6875
