n=500,,,,,,,
,no_decomp_seed1,no_decomp_seed2,no_decomp_seed3,no_decomp_seed5,no_decomp_seed8,no_decomp_seed13,no_decomp_seed21
OCSVM,0.5,0.5,0.5,0.5,0.5,0.5,0.5
AE,0.5775,0.530592,0.685132,0.555,0.573684,0.569737,0.577237
IF,0.859539,0.868684,0.884145,0.874145,0.883026,0.884737,0.885592
,,,,,,,
,ocsvm_pca_seed1,ocsvm_pca_seed2,ocsvm_pca_seed3,ocsvm_pca_seed5,ocsvm_pca_seed8,ocsvm_pca_seed13,ocsvm_pca_seed21
OCSVM,0.766184211,0.768815789,0.767894737,0.771447368,0.77125,0.773157895,0.768421053
AE,0.775855263,0.776513158,0.780789474,0.779210526,0.781118421,0.774013158,0.776644737
IF,0.734144737,0.741118421,0.752763158,0.727565789,0.753289474,0.762763158,0.721052632
,,,,,,,
,ocsvm_cp_seed1,ocsvm_cp_seed2,ocsvm_cp_seed3,ocsvm_cp_seed5,ocsvm_cp_seed8,ocsvm_cp_seed13,ocsvm_cp_seed21
OCSVM,0.717565789,0.719013158,0.721052632,0.717828947,0.716973684,0.720657895,0.720197368
AE,0.771052632,0.7725,0.760263158,0.730526316,0.750986842,0.755855263,0.739736842
IF,0.732105263,0.759407895,0.738881579,0.725263158,0.749802632,0.718157895,0.7425
,,,,,,,
,ocsvm_tucker_seed1,ocsvm_tucker_seed2,ocsvm_tucker_seed3,ocsvm_tucker_seed5,ocsvm_tucker_seed8,ocsvm_tucker_seed13,ocsvm_tucker_seed21
OCSVM,0.806644737,0.806578947,0.809473684,0.810789474,0.809407895,0.809342105,0.807368421
AE,0.805855263,0.80625,0.807105263,0.808026316,0.811381579,0.805394737,0.806513158
IF,0.779671053,0.764078947,0.761118421,0.732763158,0.763026316,0.729539474,0.773092105
,,,,,,,
n=1000,,,,,,,
,no_decomp_seed1,no_decomp_seed2,no_decomp_seed3,no_decomp_seed5,no_decomp_seed8,no_decomp_seed13,no_decomp_seed21
OCSVM,0.5,0.498,0.502,0.5,0.5,0.5,0.5
AE,0.569803,0.584408,0.480395,0.606579,0.643487,0.567632,0.611513
IF,0.900658,0.90125,0.898224,0.889605,0.86875,0.910658,0.896974
,,,,,,,
