dataset,model,family,comparison,n,statistic,p_raw,mean_delta,p_holm
n=1000,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.17001885714285717,0.03125
n=1000,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.05265999999999999,0.03125
n=1000,AE,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.10489642857142854,0.03125
n=1000,AE,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.2222552857142857,0.03125
n=1000,IF,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.07937042857142859,0.03125
n=1000,IF,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.08844928571428576,0.03125
n=1000,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,-0.1560622857142857,0.03125
n=1000,IF,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,-0.16514114285714285,0.03125
n=1000,OCSVM,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.13263171428571427,0.03125
n=1000,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.02764114285714284,0.03125
n=1000,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.19570485714285715,0.03125
n=1000,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.3006954285714286,0.03125
n=1500,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.20374042857142857,0.03125
n=1500,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.11155042857142858,0.03125
n=1500,AE,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.09687028571428571,0.03125
n=1500,AE,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.1890602857142857,0.03125
n=1500,IF,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.051738571428571446,0.03125
n=1500,IF,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.1346427142857143,0.03125
n=1500,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,-0.06357128571428572,0.03125
n=1500,IF,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,-0.14647542857142856,0.03125
n=1500,OCSVM,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.3159212857142858,0.03125
n=1500,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.10411642857142857,0.03125
n=1500,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.11165399999999999,0.03125
n=1500,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.32345885714285716,0.03125
n=3000,AE,vs_PCA,CP vs PCA,7,11.0,0.6875,-0.0006765714285714232,0.6875
n=3000,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.16340228571428575,0.03125
n=3000,AE,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.27430457142857145,0.03125
n=3000,AE,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.11157885714285713,0.03125
n=3000,IF,vs_PCA,CP vs PCA,7,9.0,0.46875,0.003148571428571453,0.46875
n=3000,IF,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.11432328571428571,0.03125
n=3000,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.01616571428571429,0.03125
n=3000,IF,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,-0.10130614285714287,0.03125
n=3000,OCSVM,vs_PCA,CP vs PCA,7,4.0,0.109375,0.0008928571428571239,0.109375
n=3000,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.1581766915714286,0.03125
n=3000,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.4232913532857143,0.03125
n=3000,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.2642218045714286,0.03125
n=500,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.02331766914285714,0.03125
n=500,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.02948308271428571,0.03125
n=500,AE,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.1731484361428571,0.03125
n=500,AE,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.225949188,0.03125
n=500,IF,vs_PCA,CP vs PCA,7,11.0,0.6875,-0.003796992428571455,0.6875
n=500,IF,vs_PCA,Tucker vs PCA,7,5.0,0.15625,0.015798872142857117,0.3125
n=500,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,-0.13910708257142856,0.03125
n=500,IF,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,-0.11951121799999999,0.03125
n=500,OCSVM,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.05055451142857142,0.03125
n=500,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.038919172857142845,0.03125
n=500,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.21904135328571428,0.03125
n=500,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.30851503757142856,0.03125
