dataset,model,k,n,chi2,df,p
n=1000,AE,4,7,21.0,3,0.00010527618177149762
n=1000,IF,4,7,18.94285714285715,3,0.0002809383751895296
n=1000,OCSVM,4,7,21.0,3,0.00010527618177149762
n=1500,AE,4,7,19.971428571428575,3,0.0001720724706202792
n=1500,IF,4,7,19.971428571428575,3,0.0001720724706202792
n=1500,OCSVM,4,7,21.0,3,0.00010527618177149762
n=3000,AE,4,7,19.971428571428575,3,0.0001720724706202792
n=3000,IF,4,7,16.200000000000003,3,0.0010317868098302346
n=3000,OCSVM,4,7,17.228571428571428,3,0.0006342154487034407
n=500,AE,4,7,21.0,3,0.00010527618177149762
n=500,IF,4,7,17.228571428571428,3,0.0006342154487034407
n=500,OCSVM,4,7,21.0,3,0.00010527618177149762
