dataset,model,family,comparison,n,statistic,p_raw,mean_delta,p_holm
n=1000,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,0.15127885714285716,0.03125
n=1000,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.2782604285714286,0.03125
n=1000,AE,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.25922814285714285,0.03125
n=1000,AE,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.38620971428571427,0.03125
n=1000,IF,vs_PCA,CP vs PCA,7,0.0,0.015625,0.11008057142857143,0.03125
n=1000,IF,vs_PCA,Tucker vs PCA,7,14.0,1.0,-0.0019932857142857053,1.0
n=1000,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.3619124285714285,0.03125
n=1000,IF,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.24983857142857144,0.03125
n=1000,OCSVM,vs_PCA,CP vs PCA,7,0.0,0.015625,0.1125692857142857,0.03125
n=1000,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.2668895714285714,0.03125
n=1000,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.16251842857142856,0.03125
n=1000,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.31683871428571425,0.03125
n=1500,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,0.17747685714285716,0.03125
n=1500,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.23201628571428576,0.03125
n=1500,AE,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.24752285714285718,0.03125
n=1500,AE,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.3020622857142858,0.03125
n=1500,IF,vs_PCA,CP vs PCA,7,0.0,0.015625,0.1089977142857143,0.03125
n=1500,IF,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.17797228571428572,0.03125
n=1500,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.25110585714285716,0.03125
n=1500,IF,vs_noDecomp,Tucker vs noDecomp,7,1.0,0.03125,-0.03586414285714286,0.03125
n=1500,OCSVM,vs_PCA,CP vs PCA,7,0.0,0.015625,0.2553108571428572,0.03125
n=1500,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.2996772857142857,0.03125
n=1500,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.2306335714285714,0.03125
n=1500,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.27499999999999997,0.03125
n=3000,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.052649857142857144,0.03125
n=3000,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.04180857142857143,0.03125
n=3000,AE,vs_noDecomp,CP vs noDecomp,7,1.0,0.03125,0.03845614285714287,0.03125
n=3000,AE,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.04929742857142858,0.03125
n=3000,IF,vs_PCA,CP vs PCA,7,4.0,0.109375,-0.025241714285714287,0.109375
n=3000,IF,vs_PCA,Tucker vs PCA,7,1.0,0.03125,-0.065357,0.0625
n=3000,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.14159014285714286,0.03125
n=3000,IF,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.10147485714285712,0.03125
n=3000,OCSVM,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.02014985714285714,0.03125
n=3000,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.0200117142857143,0.03125
n=3000,OCSVM,vs_noDecomp,CP vs noDecomp,7,3.0,0.078125,-0.01674671428571428,0.078125
n=3000,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.023414857142857157,0.03125
n=500,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,0.027361857142857136,0.03125
n=500,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.18011528571428573,0.03125
n=500,AE,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.2354607142857143,0.03125
n=500,AE,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.3882141428571429,0.03125
n=500,IF,vs_PCA,CP vs PCA,7,10.0,0.578125,0.0060484285714285735,0.578125
n=500,IF,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.19684314285714286,0.03125
n=500,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.15932014285714288,0.03125
n=500,IF,vs_noDecomp,Tucker vs noDecomp,7,3.0,0.078125,-0.04357142857142856,0.078125
n=500,OCSVM,vs_PCA,CP vs PCA,7,0.0,0.015625,0.13870971428571427,0.03125
n=500,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.22415899999999997,0.03125
n=500,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.21130185714285712,0.03125
n=500,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.2967511428571429,0.03125
