n=500,,,,,,,
,no_decomp_seed1,no_decomp_seed2,no_decomp_seed3,no_decomp_seed5,no_decomp_seed8,no_decomp_seed13,no_decomp_seed21
OCSVM,0.5,0.5,0.5,0.5,0.5,0.5,0.5
AE,0.355405,0.398964,0.506982,0.320541,0.410405,0.331802,0.397252
IF,0.266757,0.311892,0.268694,0.260676,0.255495,0.257297,0.256081
,,,,,,,
,ocsvm_pca_seed1,ocsvm_pca_seed2,ocsvm_pca_seed3,ocsvm_pca_seed5,ocsvm_pca_seed8,ocsvm_pca_seed13,ocsvm_pca_seed21
OCSVM,0.328964,0.329414,0.331532,0.338694,0.33455,0.332117,0.339505
AE,0.410315,0.421441,0.425676,0.403739,0.414414,0.416306,0.418063
IF,0.376081,0.452838,0.445405,0.362928,0.478243,0.491847,0.379955
,,,,,,,
,ocsvm_cp_seed1,ocsvm_cp_seed2,ocsvm_cp_seed3,ocsvm_cp_seed5,ocsvm_cp_seed8,ocsvm_cp_seed13,ocsvm_cp_seed21
OCSVM,0.679459,0.680135,0.679414,0.679459,0.678919,0.68009,0.679414
AE,0.478604,0.477973,0.468378,0.435946,0.451126,0.482342,0.448018
IF,0.613288,0.634234,0.611892,0.555495,0.663378,0.518198,0.616532
,,,,,,,
,ocsvm_tucker_seed1,ocsvm_tucker_seed2,ocsvm_tucker_seed3,ocsvm_tucker_seed5,ocsvm_tucker_seed8,ocsvm_tucker_seed13,ocsvm_tucker_seed21
OCSVM,0.483919,0.479459,0.479685,0.481126,0.478333,0.483829,0.479775
AE,0.481802,0.48009,0.482523,0.481396,0.483288,0.486441,0.478964
IF,0.336937,0.37509,0.342973,0.359459,0.391351,0.338514,0.332883
,,,,,,,
n=1000,,,,,,,
,no_decomp_seed1,no_decomp_seed2,no_decomp_seed3,no_decomp_seed5,no_decomp_seed8,no_decomp_seed13,no_decomp_seed21
OCSVM,0.495,0.496,0.502,0.5,0.5,0.5,0.5
AE,0.402297,0.353243,0.333423,0.346982,0.44964,0.405676,0.361036
IF,0.142748,0.145766,0.136171,0.155676,0.152297,0.147072,0.142883
,,,,,,,
