dataset,model,k,n,chi2,df,p
n=1000,AE,4,7,21.0,3,0.00010527618177149762
n=1000,IF,4,7,21.0,3,0.00010527618177149762
n=1000,OCSVM,4,7,19.971428571428575,3,0.0001720724706202792
n=1500,AE,4,7,19.971428571428575,3,0.0001720724706202792
n=1500,IF,4,7,17.91428571428571,3,0.00045812086244170086
n=1500,OCSVM,4,7,21.0,3,0.00010527618177149762
n=3000,AE,4,7,19.971428571428575,3,0.0001720724706202792
n=3000,IF,4,7,16.542857142857144,3,0.0008774317945472495
n=3000,OCSVM,4,7,19.971428571428575,3,0.0001720724706202792
n=500,AE,4,7,14.828571428571436,3,0.001969164129297192
n=500,IF,4,7,21.0,3,0.00010527618177149762
n=500,OCSVM,4,7,21.0,3,0.00010527618177149762
