dataset,model,family,comparison,n,statistic,p_raw,mean_delta,p_holm
n=1000,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,0.3714867142857142,0.03125
n=1000,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.20676957142857139,0.03125
n=1000,AE,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.2873941428571428,0.03125
n=1000,AE,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.12267699999999997,0.03125
n=1000,IF,vs_PCA,CP vs PCA,7,0.0,0.015625,0.3377217142857143,0.03125
n=1000,IF,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.24963300000000002,0.03125
n=1000,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.4901992857142857,0.03125
n=1000,IF,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.40211057142857143,0.03125
n=1000,OCSVM,vs_PCA,CP vs PCA,7,0.0,0.015625,0.40445957142857136,0.03125
n=1000,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.20647357142857142,0.03125
n=1000,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.20242214285714283,0.03125
n=1000,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,1.0,0.03125,0.004436142857142856,0.03125
n=1500,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,0.4500967142857143,0.03125
n=1500,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.18312128571428568,0.03125
n=1500,AE,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.3220657142857143,0.03125
n=1500,AE,vs_noDecomp,Tucker vs noDecomp,7,1.0,0.03125,0.05509028571428571,0.03125
n=1500,IF,vs_PCA,CP vs PCA,7,0.0,0.015625,0.10608728571428569,0.03125
n=1500,IF,vs_PCA,Tucker vs PCA,7,2.0,0.046875,-0.029987285714285723,0.046875
n=1500,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.14021871428571425,0.03125
n=1500,IF,vs_noDecomp,Tucker vs noDecomp,7,8.0,0.375,0.004144142857142858,0.375
n=1500,OCSVM,vs_PCA,CP vs PCA,7,0.0,0.015625,0.5552892857142857,0.03125
n=1500,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.23981314285714284,0.03125
n=1500,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.2966795714285714,0.03125
n=1500,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,-0.01879657142857144,0.03125
n=3000,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.017882857142857138,0.03125
n=3000,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.012419714285714296,0.03125
n=3000,AE,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,-0.09182742857142856,0.03125
n=3000,AE,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,-0.0863642857142857,0.03125
n=3000,IF,vs_PCA,CP vs PCA,7,6.0,0.21875,-0.01469100000000001,0.21875
n=3000,IF,vs_PCA,Tucker vs PCA,7,1.0,0.03125,0.03465242857142857,0.0625
n=3000,IF,vs_noDecomp,CP vs noDecomp,7,1.0,0.03125,0.017387571428571415,0.03125
n=3000,IF,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.066731,0.03125
n=3000,OCSVM,vs_PCA,CP vs PCA,7,2.0,0.046875,-0.0016727142857142735,0.046875
n=3000,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.07449828571428571,0.03125
n=3000,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,-0.24199857142857142,0.03125
n=3000,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,-0.16582757142857144,0.03125
n=500,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,0.047490428571428565,0.03125
n=500,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.06636428571428571,0.03125
n=500,AE,vs_noDecomp,CP vs noDecomp,7,1.0,0.03125,0.07443371428571428,0.0625
n=500,AE,vs_noDecomp,Tucker vs noDecomp,7,1.0,0.03125,0.0933075714285714,0.0625
n=500,IF,vs_PCA,CP vs PCA,7,0.0,0.015625,0.17510285714285717,0.03125
n=500,IF,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.07287,0.03125
n=500,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.33373214285714287,0.03125
n=500,IF,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.0857592857142857,0.03125
n=500,OCSVM,vs_PCA,CP vs PCA,7,0.0,0.015625,0.3460162857142857,0.03125
n=500,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.14733571428571432,0.03125
n=500,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.1795557142857143,0.03125
n=500,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,-0.01912485714285714,0.03125
