dataset,model,family,comparison,n,statistic,p_raw,mean_delta,p_holm
n=1000,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,0.2699845714285714,0.03125
n=1000,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.23401714285714284,0.03125
n=1000,AE,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.27225014285714283,0.03125
n=1000,AE,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.2362827142857143,0.03125
n=1000,IF,vs_PCA,CP vs PCA,7,0.0,0.015625,0.20624428571428569,0.03125
n=1000,IF,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.17695085714285713,0.03125
n=1000,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.3975421428571429,0.03125
n=1000,IF,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.3682487142857143,0.03125
n=1000,OCSVM,vs_PCA,CP vs PCA,7,0.0,0.015625,0.23671271428571433,0.03125
n=1000,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.2245392857142857,0.03125
n=1000,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.13350857142857142,0.03125
n=1000,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.12133514285714285,0.03125
n=1500,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,0.2987328571428571,0.03125
n=1500,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.23134385714285716,0.03125
n=1500,AE,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.22585242857142854,0.03125
n=1500,AE,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.15846342857142856,0.03125
n=1500,IF,vs_PCA,CP vs PCA,7,0.0,0.015625,0.14526885714285712,0.03125
n=1500,IF,vs_PCA,Tucker vs PCA,7,3.0,0.078125,0.01904000000000001,0.078125
n=1500,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.179063,0.03125
n=1500,IF,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.052834142857142864,0.03125
n=1500,OCSVM,vs_PCA,CP vs PCA,7,0.0,0.015625,0.3967662857142858,0.03125
n=1500,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.2974191428571428,0.03125
n=1500,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.200745,0.03125
n=1500,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.10139785714285714,0.03125
n=3000,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.034662285714285715,0.03125
n=3000,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.1134177142857143,0.03125
n=3000,AE,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,-0.10711214285714288,0.03125
n=3000,AE,vs_noDecomp,Tucker vs noDecomp,7,3.0,0.078125,0.040967857142857125,0.078125
n=3000,IF,vs_PCA,CP vs PCA,7,12.0,0.8125,-0.014116857142857169,0.8125
n=3000,IF,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.0976572857142857,0.03125
n=3000,IF,vs_noDecomp,CP vs noDecomp,7,3.0,0.078125,0.01889442857142855,0.078125
n=3000,IF,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.1306685714285714,0.03125
n=3000,OCSVM,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.0043855714285714175,0.03125
n=3000,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.1984257142857143,0.03125
n=3000,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,-0.18001228571428568,0.03125
n=3000,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.022798999999999982,0.03125
n=500,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,0.06138271428571428,0.03125
n=500,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.12714285714285714,0.03125
n=500,AE,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.15980057142857143,0.03125
n=500,AE,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.2255607142857143,0.03125
n=500,IF,vs_PCA,CP vs PCA,7,1.0,0.03125,0.06503842857142854,0.03125
n=500,IF,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.05446242857142858,0.03125
n=500,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.20644371428571426,0.03125
n=500,IF,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.08694285714285711,0.03125
n=500,OCSVM,vs_PCA,CP vs PCA,7,0.0,0.015625,0.1921967142857143,0.03125
n=500,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.1762902857142857,0.03125
n=500,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.15264214285714287,0.03125
n=500,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.1367357142857143,0.03125
