dataset,model,k,n,chi2,df,p
n=1000,AE,4,7,11.057142857142864,3,0.011420861587009036
n=1000,IF,4,7,18.94285714285715,3,0.0002809383751895296
n=1000,OCSVM,4,7,18.94285714285715,3,0.0002809383751895296
n=1500,AE,4,7,19.869565217391308,3,0.00018064165112607918
n=1500,IF,4,7,19.971428571428575,3,0.0001720724706202792
n=1500,OCSVM,4,7,19.285714285714292,3,0.0002386167359679495
n=3000,AE,4,7,19.285714285714292,3,0.0002386167359679495
n=3000,IF,4,7,19.869565217391308,3,0.00018064165112607918
n=3000,OCSVM,4,7,21.0,3,0.00010527618177149762
n=500,AE,4,7,9.685714285714283,3,0.02143557710428843
n=500,IF,4,7,18.94285714285715,3,0.0002809383751895296
n=500,OCSVM,4,7,18.94285714285715,3,0.0002809383751895296
