dataset,model,family,comparison,n,statistic,p_raw,mean_delta,p_holm
n=1000,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.0639332857142857,0.03125
n=1000,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.048170428571428565,0.03125
n=1000,AE,vs_noDecomp,CP vs noDecomp,7,5.0,0.15625,0.07594800000000002,0.21875
n=1000,AE,vs_noDecomp,Tucker vs noDecomp,7,4.0,0.109375,0.09171085714285716,0.21875
n=1000,IF,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.09678142857142857,0.03125
n=1000,IF,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.11629200000000002,0.03125
n=1000,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,-0.22310385714285713,0.03125
n=1000,IF,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,-0.24261442857142854,0.03125
n=1000,OCSVM,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.2035935714285714,0.03125
n=1000,OCSVM,vs_PCA,Tucker vs PCA,7,9.0,0.46875,-0.02149457142857141,0.46875
n=1000,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.0363517142857143,0.03125
n=1000,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.2184507142857143,0.03125
n=1500,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.21296285714285718,0.03125
n=1500,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.18088628571428572,0.03125
n=1500,AE,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.11199285714285714,0.03125
n=1500,AE,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.14406942857142857,0.03125
n=1500,IF,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.06426371428571429,0.03125
n=1500,IF,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.17857142857142858,0.03125
n=1500,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,-0.08366428571428575,0.03125
n=1500,IF,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,-0.19797200000000004,0.03125
n=1500,OCSVM,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.37103157142857146,0.03125
n=1500,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.17791,0.03125
n=1500,OCSVM,vs_noDecomp,CP vs noDecomp,7,8.0,0.375,0.013558285714285714,0.375
n=1500,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.20667985714285717,0.03125
n=3000,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,0.019730999999999974,0.03125
n=3000,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.1938932857142857,0.03125
n=3000,AE,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.2845017142857142,0.03125
n=3000,AE,vs_noDecomp,Tucker vs noDecomp,7,3.0,0.078125,0.07087742857142855,0.078125
n=3000,IF,vs_PCA,CP vs PCA,7,0.0,0.015625,0.04695785714285713,0.03125
n=3000,IF,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.12081114285714288,0.03125
n=3000,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.053791857142857134,0.03125
n=3000,IF,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,-0.11397714285714287,0.03125
n=3000,OCSVM,vs_PCA,CP vs PCA,7,0.0,0.015625,0.01201528571428572,0.03125
n=3000,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.19510557142857143,0.03125
n=3000,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.3938864285714286,0.03125
n=3000,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.18676557142857142,0.03125
n=500,AE,vs_PCA,CP vs PCA,7,2.0,0.046875,-0.0337302857142857,0.09375
n=500,AE,vs_PCA,Tucker vs PCA,7,8.5,0.40625,-0.007605857142857124,0.40625
n=500,AE,vs_noDecomp,CP vs noDecomp,7,4.0,0.109375,0.08190042857142857,0.109375
n=500,AE,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.10802485714285714,0.03125
n=500,IF,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.0644842857142857,0.03125
n=500,IF,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.07297185714285714,0.03125
n=500,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,-0.16710771428571428,0.03125
n=500,IF,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,-0.17559528571428573,0.03125
n=500,OCSVM,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.09115957142857145,0.03125
n=500,OCSVM,vs_PCA,Tucker vs PCA,7,7.0,0.296875,-0.014660285714285713,0.296875
n=500,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.12092142857142855,0.03125
n=500,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.19742071428571428,0.03125
