dataset,model,family,comparison,n,statistic,p_raw,mean_delta,p_holm
n=1000,AE,vs_PCA,CP vs PCA,7,5.0,0.140625,-0.023317428571428583,0.140625
n=1000,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.2349468571428571,0.03125
n=1000,AE,vs_noDecomp,CP vs noDecomp,7,9.0,0.46875,0.05962228571428572,0.46875
n=1000,AE,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.3178865714285714,0.03125
n=1000,IF,vs_PCA,CP vs PCA,7,1.0,0.03125,-0.05224342857142855,0.0625
n=1000,IF,vs_PCA,Tucker vs PCA,7,6.0,0.21875,-0.09504142857142857,0.21875
n=1000,IF,vs_noDecomp,CP vs noDecomp,7,5.0,0.15625,-0.06021271428571429,0.3125
n=1000,IF,vs_noDecomp,Tucker vs noDecomp,7,6.0,0.21875,-0.10301071428571429,0.3125
n=1000,OCSVM,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.12928,0.03125
n=1000,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.2260917142857143,0.03125
n=1000,OCSVM,vs_noDecomp,CP vs noDecomp,7,7.0,0.265625,0.02268842857142856,0.265625
n=1000,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.3780601428571429,0.03125
n=1500,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.11288899999999999,0.03125
n=1500,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.050729285714285734,0.03125
n=1500,AE,vs_noDecomp,CP vs noDecomp,7,1.0,0.03125,0.09166471428571428,0.03125
n=1500,AE,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.255283,0.03125
n=1500,IF,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.05941071428571428,0.03125
n=1500,IF,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.21876557142857145,0.03125
n=1500,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,-0.06453914285714288,0.03125
n=1500,IF,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,-0.22389400000000004,0.03125
n=1500,OCSVM,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.15879871428571427,0.03125
n=1500,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.06466271428571427,0.03125
n=1500,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.11474300000000003,0.03125
n=1500,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.3382044285714286,0.03125
n=3000,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.019061999999999992,0.03125
n=3000,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.17677942857142862,0.03125
n=3000,AE,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.21796228571428575,0.03125
n=3000,AE,vs_noDecomp,Tucker vs noDecomp,7,1.0,0.03125,0.060244857142857135,0.03125
n=3000,IF,vs_PCA,CP vs PCA,7,6.0,0.21875,-0.012296142857142851,0.21875
n=3000,IF,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.19469842857142858,0.03125
n=3000,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.08227257142857144,0.03125
n=3000,IF,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,-0.10012971428571428,0.03125
n=3000,OCSVM,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.007877999999999987,0.03125
n=3000,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.16185742857142857,0.03125
n=3000,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.28851442857142856,0.03125
n=3000,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.134535,0.03125
n=500,AE,vs_PCA,CP vs PCA,7,7.0,0.296875,-0.007291142857142845,0.296875
n=500,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.15929314285714286,0.03125
n=500,AE,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.21830228571428575,0.03125
n=500,AE,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.3848865714285714,0.03125
n=500,IF,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.0509144285714286,0.03125
n=500,IF,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.08085128571428571,0.03125
n=500,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,-0.07510500000000002,0.03125
n=500,IF,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,-0.10504185714285715,0.03125
n=500,OCSVM,vs_PCA,CP vs PCA,7,4.0,0.109375,-0.009145000000000023,0.109375
n=500,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.1564505714285714,0.03125
n=500,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.1891682857142857,0.03125
n=500,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.35476385714285713,0.03125
