n=500,,,,,,,
,no_decomp_seed1,no_decomp_seed2,no_decomp_seed3,no_decomp_seed5,no_decomp_seed8,no_decomp_seed13,no_decomp_seed21
OCSVM,0.5,0.5,0.5,0.5,0.5,0.5,0.5
AE,0.4255,0.4573,0.6683,0.4597,0.4682,0.3803,0.4855
IF,0.5399,0.5678,0.5683,0.5049,0.5787,0.4972,0.542
,,,,,,,
,ocsvm_pca_seed1,ocsvm_pca_seed2,ocsvm_pca_seed3,ocsvm_pca_seed5,ocsvm_pca_seed8,ocsvm_pca_seed13,ocsvm_pca_seed21
OCSVM,0.5437,0.5263,0.5867,0.5485,0.5866,0.5439,0.6012
AE,0.5761,0.5673,0.6275,0.5763,0.6101,0.5704,0.6335
IF,0.6122,0.5691,0.6731,0.6346,0.6284,0.5446,0.7103
,,,,,,,
,ocsvm_cp_seed1,ocsvm_cp_seed2,ocsvm_cp_seed3,ocsvm_cp_seed5,ocsvm_cp_seed8,ocsvm_cp_seed13,ocsvm_cp_seed21
OCSVM,0.6549,0.6849,0.6907,0.7028,0.663,0.6683,0.7061
AE,0.5875,0.6018,0.6484,0.615,0.6243,0.5948,0.6599
IF,0.6038,0.584,0.6361,0.6451,0.65,0.571,0.6562
,,,,,,,
,ocsvm_tucker_seed1,ocsvm_tucker_seed2,ocsvm_tucker_seed3,ocsvm_tucker_seed5,ocsvm_tucker_seed8,ocsvm_tucker_seed13,ocsvm_tucker_seed21
OCSVM,0.676,0.671,0.712,0.6638,0.6804,0.6133,0.7014
AE,0.6783,0.6693,0.7108,0.663,0.6799,0.6163,0.6984
IF,0.5601,0.4736,0.5151,0.4871,0.5773,0.4822,0.4758
,,,,,,,
,,,,,,,
n=1000,,,,,,,
,no_decomp_seed1,no_decomp_seed2,no_decomp_seed3,no_decomp_seed5,no_decomp_seed8,no_decomp_seed13,no_decomp_seed21
OCSVM,0.5,0.495,0.502,0.5,0.5,0.5,0.5
AE,0.4985,0.4661,0.3428,0.4697,0.5453,0.4972,0.4647
IF,0.4903,0.4063,0.436,0.4058,0.4955,0.4044,0.4566
,,,,,,,
