dataset,model,family,comparison,n,statistic,p_raw,mean_delta,p_holm
n=1000,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,0.1358285714285714,0.03125
n=1000,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.12664285714285714,0.03125
n=1000,AE,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.21815714285714286,0.03125
n=1000,AE,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.20897142857142859,0.03125
n=1000,IF,vs_PCA,CP vs PCA,7,0.0,0.015625,0.09434285714285713,0.03125
n=1000,IF,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.09664285714285714,0.03125
n=1000,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.19755714285714282,0.03125
n=1000,IF,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.19985714285714282,0.03125
n=1000,OCSVM,vs_PCA,CP vs PCA,7,0.0,0.015625,0.09600000000000004,0.03125
n=1000,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.12808571428571433,0.03125
n=1000,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.14625714285714286,0.03125
n=1000,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.17834285714285714,0.03125
n=1500,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,0.1148714285714286,0.03125
n=1500,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.08618571428571428,0.03125
n=1500,AE,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.1916571428571429,0.03125
n=1500,AE,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.16297142857142854,0.03125
n=1500,IF,vs_PCA,CP vs PCA,7,0.0,0.015625,0.055528571428571434,0.03125
n=1500,IF,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.09894285714285712,0.03125
n=1500,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.09768571428571428,0.03125
n=1500,IF,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,-0.056785714285714294,0.03125
n=1500,OCSVM,vs_PCA,CP vs PCA,7,0.0,0.015625,0.1462857142857143,0.03125
n=1500,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.12838571428571427,0.03125
n=1500,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.1820714285714286,0.03125
n=1500,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.16417142857142858,0.03125
n=3000,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.01994285714285712,0.03125
n=3000,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.06058571428571428,0.03125
n=3000,AE,vs_noDecomp,CP vs noDecomp,7,1.0,0.03125,0.06215714285714287,0.0625
n=3000,AE,vs_noDecomp,Tucker vs noDecomp,7,7.0,0.296875,0.021514285714285715,0.296875
n=3000,IF,vs_PCA,CP vs PCA,7,5.5,0.171875,-0.01977142857142857,0.171875
n=3000,IF,vs_PCA,Tucker vs PCA,7,1.0,0.03125,-0.03808571428571429,0.0625
n=3000,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.0357,0.03125
n=3000,IF,vs_noDecomp,Tucker vs noDecomp,7,6.0,0.21875,0.017385714285714275,0.21875
n=3000,OCSVM,vs_PCA,CP vs PCA,7,11.0,0.6875,-0.00021428571428573826,1.0
n=3000,OCSVM,vs_PCA,Tucker vs PCA,7,10.0,0.578125,-0.00794285714285714,1.0
n=3000,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.05539999999999999,0.03125
n=3000,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,1.0,0.03125,0.04767142857142859,0.03125
n=500,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,0.024357142857142872,0.03125
n=500,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.07925714285714287,0.03125
n=500,AE,vs_noDecomp,CP vs noDecomp,7,1.0,0.03125,0.1409857142857143,0.03125
n=500,AE,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.1958857142857143,0.03125
n=500,IF,vs_PCA,CP vs PCA,7,14.0,1.0,-0.003728571428571446,1.0
n=500,IF,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.11444285714285715,0.03125
n=500,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.07819999999999998,0.03125
n=500,IF,vs_noDecomp,Tucker vs noDecomp,7,4.0,0.109375,-0.03251428571428571,0.109375
n=500,OCSVM,vs_PCA,CP vs PCA,7,0.0,0.015625,0.11911428571428571,0.03125
n=500,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.11157142857142857,0.03125
n=500,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.18152857142857143,0.03125
n=500,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.17398571428571427,0.03125
