n=500,,,,,,,
,no_decomp_seed1,no_decomp_seed2,no_decomp_seed3,no_decomp_seed5,no_decomp_seed8,no_decomp_seed13,no_decomp_seed21
OCSVM,0.5,0.5,0.5,0.5,0.5,0.5,0.5
AE,0.427083,0.614583,0.5,0.361111,0.475694,0.473958,0.517361
IF,0.444444,0.491319,0.541667,0.461806,0.5625,0.510417,0.399306
,,,,,,,
,ocsvm_pca_seed1,ocsvm_pca_seed2,ocsvm_pca_seed3,ocsvm_pca_seed5,ocsvm_pca_seed8,ocsvm_pca_seed13,ocsvm_pca_seed21
OCSVM,0.571181,0.642361,0.579861,0.574653,0.640625,0.560764,0.522569
AE,0.572917,0.633681,0.597222,0.564236,0.644097,0.567708,0.541667
IF,0.623264,0.647569,0.652778,0.623264,0.706597,0.609375,0.546875
,,,,,,,
,ocsvm_cp_seed1,ocsvm_cp_seed2,ocsvm_cp_seed3,ocsvm_cp_seed5,ocsvm_cp_seed8,ocsvm_cp_seed13,ocsvm_cp_seed21
OCSVM,0.579861,0.616319,0.565972,0.552083,0.579861,0.553819,0.552083
AE,0.595486,0.678819,0.585069,0.576389,0.651042,0.592014,0.555556
IF,0.710069,0.789931,0.699653,0.623264,0.715278,0.642361,0.673611
,,,,,,,
,ocsvm_tucker_seed1,ocsvm_tucker_seed2,ocsvm_tucker_seed3,ocsvm_tucker_seed5,ocsvm_tucker_seed8,ocsvm_tucker_seed13,ocsvm_tucker_seed21
OCSVM,0.418403,0.439236,0.4375,0.359375,0.428819,0.421875,0.381944
AE,0.432292,0.463542,0.465278,0.368056,0.430556,0.423611,0.375
IF,0.444444,0.583333,0.717014,0.423611,0.586806,0.605903,0.430556
,,,,,,,
n=1000,,,,,,,
,no_decomp_seed1,no_decomp_seed2,no_decomp_seed3,no_decomp_seed5,no_decomp_seed8,no_decomp_seed13,no_decomp_seed21
OCSVM,0.5,0.521,0.5,0.5,0.5,0.5,0.5
AE,0.65625,0.559028,0.392361,0.461806,0.715278,0.722222,0.772569
IF,0.494792,0.5625,0.513889,0.480903,0.605903,0.614583,0.515625
,,,,,,,
