dataset,model,k,n,chi2,df,p
n=1000,AE,4,7,17.228571428571428,3,0.0006342154487034407
n=1000,IF,4,7,17.228571428571428,3,0.0006342154487034407
n=1000,OCSVM,4,7,19.285714285714292,3,0.0002386167359679495
n=1500,AE,4,7,17.91428571428571,3,0.00045812086244170086
n=1500,IF,4,7,2.558823529411759,3,0.4647540839549553
n=1500,OCSVM,4,7,19.285714285714292,3,0.0002386167359679495
n=3000,AE,4,7,3.857142857142861,3,0.2773090569001112
n=3000,IF,4,7,12.085714285714289,3,0.0070952335471087145
n=3000,OCSVM,4,7,14.48571428571428,3,0.002313313073732614
n=500,AE,4,7,18.257142857142853,3,0.00038927158438446736
n=500,IF,4,7,15.882352941176473,3,0.00119873184098534
n=500,OCSVM,4,7,19.285714285714292,3,0.0002386167359679495
