dataset,model,family,comparison,n,statistic,p_raw,mean_delta,p_holm
n=1000,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,0.26934542857142857,0.03125
n=1000,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.08358128571428572,0.03125
n=1000,AE,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.18303585714285717,0.03125
n=1000,AE,vs_noDecomp,Tucker vs noDecomp,7,2.0,0.046875,-0.16989085714285715,0.046875
n=1000,IF,vs_PCA,CP vs PCA,7,0.0,0.015625,0.22643842857142854,0.03125
n=1000,IF,vs_PCA,Tucker vs PCA,7,0.0,0.015625,0.06820428571428569,0.03125
n=1000,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.22470214285714288,0.03125
n=1000,IF,vs_noDecomp,Tucker vs noDecomp,7,2.0,0.046875,0.06646799999999997,0.046875
n=1000,OCSVM,vs_PCA,CP vs PCA,7,0.0,0.015625,0.19568485714285716,0.03125
n=1000,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.07242042857142857,0.03125
n=1000,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.21054185714285717,0.03125
n=1000,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,-0.05756342857142858,0.03125
n=1500,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,0.15575414285714287,0.03125
n=1500,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.1956844285714286,0.03125
n=1500,AE,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.26686528571428575,0.03125
n=1500,AE,vs_noDecomp,Tucker vs noDecomp,7,3.0,0.078125,-0.0845732857142857,0.078125
n=1500,IF,vs_PCA,CP vs PCA,7,11.0,0.6875,0.01537700000000002,1.0
n=1500,IF,vs_PCA,Tucker vs PCA,7,10.0,0.5625,0.016369000000000022,1.0
n=1500,IF,vs_noDecomp,CP vs noDecomp,7,7.0,0.296875,-0.01686499999999998,0.59375
n=1500,IF,vs_noDecomp,Tucker vs noDecomp,7,11.0,0.6875,-0.015872999999999977,0.6875
n=1500,OCSVM,vs_PCA,CP vs PCA,7,3.0,0.078125,-0.04265828571428568,0.078125
n=1500,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.17113085714285714,0.03125
n=1500,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.04439514285714289,0.03125
n=1500,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,-0.08407742857142857,0.03125
n=3000,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.029017857142857158,0.03125
n=3000,AE,vs_PCA,Tucker vs PCA,7,12.0,0.8125,-0.011160714285714286,0.8125
n=3000,AE,vs_noDecomp,CP vs noDecomp,7,10.0,0.578125,0.023065571428571425,1.0
n=3000,AE,vs_noDecomp,Tucker vs noDecomp,7,13.0,0.9375,0.0409227142857143,1.0
n=3000,IF,vs_PCA,CP vs PCA,7,1.0,0.03125,-0.04613085714285712,0.0625
n=3000,IF,vs_PCA,Tucker vs PCA,7,6.0,0.21875,0.05059528571428573,0.21875
n=3000,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,-0.08358128571428569,0.03125
n=3000,IF,vs_noDecomp,Tucker vs noDecomp,7,8.0,0.375,0.013144857142857149,0.375
n=3000,OCSVM,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.025545571428571428,0.03125
n=3000,OCSVM,vs_PCA,Tucker vs PCA,7,5.0,0.15625,0.03125,0.15625
n=3000,OCSVM,vs_noDecomp,CP vs noDecomp,7,2.0,0.046875,0.048765857142857125,0.046875
n=3000,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.10556142857142856,0.03125
n=500,AE,vs_PCA,CP vs PCA,7,2.5,0.0625,0.01612099999999999,0.0625
n=500,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.16617042857142858,0.03125
n=500,AE,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.12351214285714288,0.03125
n=500,AE,vs_noDecomp,Tucker vs noDecomp,7,3.0,0.078125,-0.0587792857142857,0.078125
n=500,IF,vs_PCA,CP vs PCA,7,0.0,0.03125,0.06349214285714284,0.0625
n=500,IF,vs_PCA,Tucker vs PCA,7,3.0,0.078125,-0.08829357142857143,0.078125
n=500,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.20610114285714282,0.03125
n=500,IF,vs_noDecomp,Tucker vs noDecomp,7,3.0,0.15625,0.05431542857142858,0.15625
n=500,OCSVM,vs_PCA,CP vs PCA,7,8.0,0.375,-0.01314514285714287,0.375
n=500,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.17212314285714284,0.03125
n=500,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.0714282857142857,0.03125
n=500,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,-0.08754971428571427,0.03125
