n=500,,,,,,,
,no_decomp_seed1,no_decomp_seed2,no_decomp_seed3,no_decomp_seed5,no_decomp_seed8,no_decomp_seed13,no_decomp_seed21
OCSVM,0.5,0.5,0.5,0.5,0.5,0.5,0.5
AE,0.612222,0.603889,0.653333,0.641111,0.680556,0.560278,0.683056
IF,0.93,0.941111,0.954167,0.938611,0.948889,0.944167,0.943056
,,,,,,,
,ocsvm_pca_seed1,ocsvm_pca_seed2,ocsvm_pca_seed3,ocsvm_pca_seed5,ocsvm_pca_seed8,ocsvm_pca_seed13,ocsvm_pca_seed21
OCSVM,0.883333,0.918333,0.8925,0.877778,0.896944,0.89,0.879167
AE,0.878889,0.921111,0.902222,0.861667,0.878611,0.883889,0.872778
IF,0.845556,0.850833,0.856389,0.821389,0.840833,0.863889,0.796389
,,,,,,,
,ocsvm_cp_seed1,ocsvm_cp_seed2,ocsvm_cp_seed3,ocsvm_cp_seed5,ocsvm_cp_seed8,ocsvm_cp_seed13,ocsvm_cp_seed21
OCSVM,0.727222,0.7725,0.760833,0.718333,0.730833,0.737778,0.726667
AE,0.8225,0.890278,0.865,0.788611,0.8225,0.831111,0.815556
IF,0.736944,0.830556,0.808333,0.753056,0.7625,0.760278,0.761389
,,,,,,,
,ocsvm_tucker_seed1,ocsvm_tucker_seed2,ocsvm_tucker_seed3,ocsvm_tucker_seed5,ocsvm_tucker_seed8,ocsvm_tucker_seed13,ocsvm_tucker_seed21
OCSVM,0.711389,0.715278,0.721944,0.714167,0.727222,0.74,0.721944
AE,0.703611,0.721389,0.724167,0.708611,0.728889,0.734167,0.714722
IF,0.697778,0.601667,0.636667,0.601389,0.6175,0.668333,0.608333
,,,,,,,
n=1000,,,,,,,
,no_decomp_seed1,no_decomp_seed2,no_decomp_seed3,no_decomp_seed5,no_decomp_seed8,no_decomp_seed13,no_decomp_seed21
OCSVM,0.5,0.508,0.504,0.5,0.5,0.5,0.5
AE,0.63,0.668611,0.654722,0.578889,0.734167,0.757778,0.659167
IF,0.943333,0.950833,0.948333,0.936944,0.946667,0.944722,0.947778
,,,,,,,
