dataset,model,family,comparison,n,statistic,p_raw,mean_delta,p_holm
n=1000,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.14087285714285713,0.03125
n=1000,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.23345228571428572,0.03125
n=1000,AE,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.13119028571428573,0.03125
n=1000,AE,vs_noDecomp,Tucker vs noDecomp,7,5.0,0.15625,0.03861085714285717,0.15625
n=1000,IF,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.1393257142857143,0.03125
n=1000,IF,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.3026588571428572,0.03125
n=1000,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,-0.15722228571428573,0.03125
n=1000,IF,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,-0.3205554285714286,0.03125
n=1000,OCSVM,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.1998811428571429,0.03125
n=1000,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.2270238571428572,0.03125
n=1000,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.22776971428571427,0.03125
n=1000,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.20062700000000003,0.03125
n=1500,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.1156351428571429,0.03125
n=1500,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.22674614285714284,0.03125
n=1500,AE,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.17583299999999996,0.03125
n=1500,AE,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.06472200000000002,0.03125
n=1500,IF,vs_PCA,CP vs PCA,7,1.0,0.03125,-0.029325428571428565,0.03125
n=1500,IF,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.2534525714285714,0.03125
n=1500,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,-0.013571428571428552,0.03125
n=1500,IF,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,-0.2376985714285714,0.03125
n=1500,OCSVM,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.3335317142857143,0.03125
n=1500,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.2292064285714286,0.03125
n=1500,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.1254364285714286,0.03125
n=1500,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.2297617142857143,0.03125
n=3000,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.005158857142857164,0.03125
n=3000,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.3543652857142857,0.03125
n=3000,AE,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.26702371428571425,0.03125
n=3000,AE,vs_noDecomp,Tucker vs noDecomp,7,1.0,0.03125,-0.08218271428571429,0.03125
n=3000,IF,vs_PCA,CP vs PCA,7,8.0,0.375,-0.005277714285714298,0.375
n=3000,IF,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.17440471428571427,0.03125
n=3000,IF,vs_noDecomp,CP vs noDecomp,7,8.0,0.65625,0.0011112857142857116,0.65625
n=3000,IF,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,-0.1680157142857143,0.03125
n=3000,OCSVM,vs_PCA,CP vs PCA,7,6.5,0.46875,0.0007538571428571553,0.46875
n=3000,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.34587314285714293,0.03125
n=3000,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.4433491428571429,0.03125
n=3000,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.09672214285714284,0.03125
n=500,AE,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.05194442857142859,0.03125
n=500,AE,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.1662301428571429,0.03125
n=500,AE,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.20015871428571425,0.03125
n=500,AE,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.08587299999999996,0.03125
n=500,IF,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.0660317142857143,0.03125
n=500,IF,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.20623014285714286,0.03125
n=500,IF,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,-0.16956357142857145,0.03125
n=500,IF,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,-0.309762,0.03125
n=500,OCSVM,vs_PCA,CP vs PCA,7,0.0,0.015625,-0.15198414285714287,0.03125
n=500,OCSVM,vs_PCA,Tucker vs PCA,7,0.0,0.015625,-0.16944442857142855,0.03125
n=500,OCSVM,vs_noDecomp,CP vs noDecomp,7,0.0,0.015625,0.23916657142857142,0.03125
n=500,OCSVM,vs_noDecomp,Tucker vs noDecomp,7,0.0,0.015625,0.22170628571428574,0.03125
